trial,label,result,duration_s,cube_x,cube_y,cube_z,drop_x,drop_y,drop_z,start_x,start_y,start_z,dist_start_to_cube,dist_start_to_drop,phase_approach_s,phase_grip_s,phase_carry_s,phase_place_s,n_obstacles,total_hits,penalty_accumulated_s,adjusted_duration_s
1,Obs-Transport 1,success,51.132,0.6206,-0.2718,1.1627,0.6394,-0.2291,0.864,0.6537,-0.0224,1.04,0.2799,0.2718,19.836,0.704,30.23,0.603,0,7,0.0,51.373
2,Obs-Transport 2,success,11.842,0.6354,-0.1119,1.3172,0.4673,-0.309,1.303,0.6707,-0.2106,0.8711,0.4583,0.4875,7.069,1.652,2.48,0.749,0,17,0.0,11.95
3,Obs-Transport 3,success,12.228,0.6717,-0.2708,1.0733,0.7192,-0.0738,1.0861,0.4551,-0.304,1.3019,0.3166,0.4114,2.708,1.908,6.886,0.83,0,8,0.0,12.332
4,Obs-Transport 4,success,6.906,0.5897,-0.2074,1.2787,0.6861,-0.176,1.0585,0.7507,-0.0644,1.047,0.3163,0.1294,2.208,1.044,1.919,1.847,0,5,0.0,7.018
5,Obs-Transport 5,success,10.758,0.6352,-0.2167,1.223,0.6535,-0.0762,1.277,0.6723,-0.1967,1.0283,0.1992,0.277,6.02,2.248,1.749,0.874,0,7,0.0,10.891
6,Obs-Transport 6,success,9.776,0.6014,-0.2864,0.9681,0.4677,-0.3054,1.314,0.6436,-0.0777,1.2226,0.3318,0.3019,4.814,0.594,3.824,0.654,0,3,0.0,9.886
7,Obs-Transport 7,success,9.262,0.7277,-0.0671,0.9461,0.4861,-0.3423,1.184,0.4878,-0.3063,1.3276,0.5103,0.1481,2.864,1.977,2.968,1.567,0,9,0.0,9.376
8,Obs-Transport 8,success,11.274,0.5691,-0.3198,1.0712,0.7278,-0.1241,1.1167,0.4734,-0.38,1.2013,0.1723,0.3706,5.196,2.109,2.185,1.897,0,1,0.0,11.387
9,Obs-Transport 9,success,8.45,0.6309,-0.2837,0.9102,0.598,-0.0425,1.324,0.7404,-0.1166,1.1249,0.2933,0.2558,1.558,1.091,5.205,0.703,0,16,0.0,8.557
10,Obs-Transport 10,success,5.829,0.6525,-0.2507,1.1467,0.6896,-0.1635,1.1822,0.6375,-0.0337,1.3341,0.2871,0.2064,3.168,1.186,0.648,0.94,0,3,0.0,5.942
