trial,label,result,duration_s,cube_x,cube_y,cube_z,drop_x,drop_y,drop_z,start_x,start_y,start_z,dist_start_to_cube,dist_start_to_drop,phase_approach_s,phase_grip_s,phase_carry_s,phase_place_s
1,Transport 1,success,7.024,0.7474,-0.028,1.0165,0.6977,-0.0268,1.2371,0.6002,0.0663,0.6928,0.3679,0.5607,4.021,0.807,1.426,0.781
2,Transport 2,success,5.625,0.7198,-0.1401,1.1459,0.6457,-0.122,1.2935,0.6873,-0.057,1.2273,0.1208,0.1017,1.601,0.567,2.502,0.957
3,Transport 3,success,4.254,0.6564,-0.2084,1.1984,0.6753,-0.0959,1.274,0.6282,-0.127,1.2988,0.1323,0.0617,1.708,0.579,1.264,0.707
4,Transport 4,success,7.408,0.624,-0.1668,1.294,0.7406,-0.0661,0.9352,0.67,-0.0786,1.2451,0.1109,0.3181,2.229,1.316,2.683,1.185
5,Transport 5,success,4.355,0.7243,-0.1741,0.9815,0.6692,-0.2184,1.1538,0.7586,-0.0658,0.9178,0.1303,0.2949,1.142,0.455,1.882,0.876
6,Transport 6,success,3.486,0.7426,-0.0333,0.9792,0.7279,-0.179,1.0729,0.7072,-0.2059,1.1593,0.2519,0.0928,0.899,0.662,1.04,0.887
7,Transport 7,success,9.123,0.6973,-0.2084,1.0958,0.6759,-0.2387,0.988,0.7444,-0.1781,1.0694,0.0619,0.1224,2.366,0.957,4.015,1.784
8,Transport 8,success,7.364,0.6995,-0.2139,1.0823,0.7285,-0.1275,1.0503,0.7277,-0.2628,1.0016,0.0985,0.1437,4.355,0.804,1.054,1.151
9,Transport 9,success,9.122,0.6789,-0.1087,0.8361,0.6824,-0.023,0.8339,0.7307,-0.1457,1.014,0.189,0.2233,5.434,1.364,1.313,1.017
10,Transport 10,success,27.869,0.6352,-0.2364,1.2209,0.7044,-0.1441,0.8775,0.7313,-0.0189,0.8355,0.4529,0.1347,15.668,1.465,9.374,1.362
